Date,sentiment_score_7d_avg,news_count,stock_price_7d_avg,Company,Year
2021-01-01,4.255574573633112,2.0,,Apple,2021
2021-01-02,4.073719954159969,1.0,,Apple,2021
2021-01-03,3.8947872082580943,1.0,,Apple,2021
2021-01-04,3.912440923856983,4.0,129.48499999999999,Apple,2021
2021-01-05,3.968963031824387,2.0,129.998,Apple,2021
2021-01-06,3.9684843171770416,1.0,129.82833333333335,Apple,2021
2021-01-07,3.792763531572529,8.0,129.68142857142857,Apple,2021
2021-01-08,3.787085263577995,2.0,129.89285714285714,Apple,2021
2021-01-10,3.8222081505602894,1.0,129.89285714285714,Apple,2021
2021-01-11,3.9845464444842085,6.0,129.59285714285713,Apple,2021
2021-01-12,4.104603933063031,3.0,129.67,Apple,2021
2021-01-13,4.064825537247002,3.0,129.22857142857143,Apple,2021
2021-01-14,4.064825537247002,,129.22571428571428,Apple,2021
2021-01-15,3.779643576195061,3.0,130.35285714285712,Apple,2021
2021-01-17,3.9005630430719544,1.0,130.35285714285712,Apple,2021
2021-01-18,3.902915230394293,4.0,130.35285714285712,Apple,2021
2021-01-19,3.8896827209460554,2.0,131.82,Apple,2021
2021-01-20,3.8223033827497708,3.0,133.53857142857143,Apple,2021
2021-01-21,3.6795469088438724,2.0,135.5742857142857,Apple,2021
2021-01-22,3.7231114423077334,7.0,137.7057142857143,Apple,2021
2021-01-24,3.889597265320727,3.0,137.7057142857143,Apple,2021
2021-01-25,3.7717189895385617,7.0,139.02857142857144,Apple,2021
2021-01-26,3.6001723912600103,15.0,139.01857142857142,Apple,2021
2021-01-27,3.671843408857427,8.0,138.62857142857143,Apple,2021
2021-01-28,3.293063942098712,29.0,138.04571428571427,Apple,2021
2021-01-29,3.027570299552501,5.0,136.76285714285714,Apple,2021
2021-01-30,2.967255233613109,4.0,136.76285714285714,Apple,2021
2021-01-31,2.8016510926667917,3.0,136.76285714285714,Apple,2021
2021-02-01,2.7455673344525016,2.0,135.93857142857144,Apple,2021
2021-02-02,2.8219886309142845,1.0,135.18142857142857,Apple,2021
2021-02-03,2.678952393279427,11.0,135.15571428571428,Apple,2021
2021-02-04,3.0579348681284344,5.0,135.7342857142857,Apple,2021
2021-02-05,3.1017176600490433,6.0,135.91285714285715,Apple,2021
2021-02-06,3.1207922895235276,1.0,135.91285714285715,Apple,2021
2021-02-07,3.1198961143859307,3.0,135.91285714285715,Apple,2021
2021-02-08,3.0629916392093484,9.0,135.93285714285713,Apple,2021
2021-02-09,2.919049284667005,8.0,136.13714285714283,Apple,2021
2021-02-10,2.919049284667005,,135.53714285714287,Apple,2021
2021-02-11,2.9190813354519656,1.0,134.69142857142856,Apple,2021
2021-02-12,2.727439523682341,1.0,133.66285714285715,Apple,2021
2021-02-13,2.545919574846985,2.0,133.66285714285715,Apple,2021
2021-02-14,2.5277207767805696,5.0,133.66285714285715,Apple,2021
2021-02-15,2.6328728840024183,3.0,133.66285714285715,Apple,2021
2021-02-16,2.7042882727145603,1.0,132.78571428571428,Apple,2021
2021-02-17,2.8005401254313953,1.0,131.4442857142857,Apple,2021
2021-02-18,2.942928593291375,8.0,130.12,Apple,2021
2021-02-19,3.2298021625405275,4.0,128.68857142857144,Apple,2021
2021-02-20,3.605408762854538,1.0,128.68857142857144,Apple,2021
2021-02-21,3.724669429675097,4.0,128.68857142857144,Apple,2021
2021-02-22,3.851728563616797,3.0,126.9457142857143,Apple,2021
2021-02-23,3.7803180490873705,3.0,125.57714285714287,Apple,2021
2021-02-24,4.062835626357333,3.0,125.30285714285715,Apple,2021
2021-02-25,4.056548786161632,9.0,124.62428571428572,Apple,2021
2021-02-26,4.082793917550416,2.0,124.06142857142858,Apple,2021
2021-02-28,3.987639186687115,1.0,124.06142857142858,Apple,2021
2021-03-01,3.8765908942897065,2.0,123.24285714285715,Apple,2021
2021-03-02,3.642563596630983,2.0,122.68142857142857,Apple,2021
2021-03-03,3.6425557353215394,1.0,122.02,Apple,2021
2021-03-04,3.645684523361983,3.0,121.99428571428571,Apple,2021
2021-03-05,3.5334115424703447,2.0,120.87857142857142,Apple,2021
2021-03-06,3.320364625597583,1.0,120.87857142857142,Apple,2021
2021-03-08,3.080561980419138,5.0,120.42714285714285,Apple,2021
2021-03-09,3.1666829387659425,2.0,120.28,Apple,2021
2021-03-10,3.3091396597128813,2.0,120.83142857142856,Apple,2021
2021-03-11,3.292679877436604,1.0,121.42428571428572,Apple,2021
2021-03-12,3.0070321264377395,3.0,122.62428571428572,Apple,2021
2021-03-14,3.0772132546238327,2.0,122.62428571428572,Apple,2021
2021-03-15,3.354830931767841,2.0,122.5457142857143,Apple,2021
2021-03-16,3.5946241129200813,1.0,122.54714285714286,Apple,2021
2021-03-17,3.5768797254893885,3.0,122.75142857142858,Apple,2021
2021-03-18,3.435819222881123,1.0,122.96714285714286,Apple,2021
2021-03-19,3.4522809639543297,2.0,122.41,Apple,2021
2021-03-21,3.4521520199163027,3.0,122.41,Apple,2021
2021-03-22,3.35811506445749,2.0,121.69857142857143,Apple,2021
2021-03-23,3.35811506445749,,121.19142857142856,Apple,2021
2021-03-24,3.35811506445749,,121.31428571428572,Apple,2021
2021-03-25,3.219356108596306,1.0,121.30142857142857,Apple,2021
2021-03-26,2.935890647544425,2.0,121.12428571428572,Apple,2021
2021-03-29,2.935890647544425,,121.19000000000001,Apple,2021
2021-03-30,2.861589215448995,1.0,122.02,Apple,2021
2021-03-31,2.8618665139620134,4.0,122.82285714285715,Apple,2021
2021-04-01,2.5882464813689046,2.0,123.77857142857144,Apple,2021
