Date,Close,Open,High,Low,Vol.
12/31/2024,250.42,252.44,253.28,249.43,39.48M
12/30/2024,252.2,252.23,253.5,250.75,35.56M
12/27/2024,255.59,257.83,258.7,253.06,42.36M
12/26/2024,259.02,258.19,260.1,257.63,27.26M
12/24/2024,258.2,255.49,258.21,255.29,23.23M
12/23/2024,255.27,254.77,255.65,253.45,40.86M
12/20/2024,254.49,248.04,255,245.69,147.50M
12/19/2024,249.79,247.5,252,247.09,60.88M
12/18/2024,248.05,252.16,254.28,247.74,56.77M
12/17/2024,253.48,250.08,253.83,249.78,51.36M
12/16/2024,251.04,247.99,251.38,247.65,51.69M
12/13/2024,248.13,247.82,249.29,246.24,33.16M
12/12/2024,247.96,246.89,248.74,245.68,32.78M
12/11/2024,246.49,247.96,250.8,246.26,45.21M
12/10/2024,247.77,246.89,248.21,245.34,36.91M
12/09/2024,246.75,241.83,247.24,241.75,44.65M
12/06/2024,242.84,242.9,244.63,242.08,36.87M
12/05/2024,243.04,243.99,244.54,242.13,40.03M
12/04/2024,243.01,242.87,244.11,241.25,44.38M
12/03/2024,242.65,239.81,242.76,238.9,38.86M
12/02/2024,239.59,237.27,240.79,237.16,48.14M
11/29/2024,237.33,234.8,237.81,233.97,28.48M
11/27/2024,234.93,234.46,235.69,233.81,33.50M
11/26/2024,235.06,233.33,235.57,233.33,45.99M
11/25/2024,232.87,231.46,233.24,229.74,90.15M
11/22/2024,229.87,228.06,230.72,228.06,38.17M
11/21/2024,228.52,228.88,230.15,225.71,42.11M
11/20/2024,229,228.06,229.93,225.89,35.17M
11/19/2024,228.28,226.98,230.16,226.66,36.21M
11/18/2024,228.02,225.25,229.74,225.17,44.69M
11/15/2024,225,226.4,226.92,224.27,47.92M
11/14/2024,228.22,225.02,228.87,225,44.92M
11/13/2024,225.12,224.01,226.65,222.76,48.57M
11/12/2024,224.23,224.55,225.59,223.35,40.40M
11/11/2024,224.23,225,225.7,221.5,42.01M
11/08/2024,226.96,227.17,228.66,226.4,38.33M
11/07/2024,227.48,224.63,227.88,224.57,42.14M
11/06/2024,222.72,222.61,226.07,221.19,54.56M
11/05/2024,223.45,221.79,223.95,221.14,28.11M
11/04/2024,222.01,220.99,222.79,219.71,44.94M
11/01/2024,222.91,220.96,225.35,220.27,65.28M
10/31/2024,225.91,229.34,229.83,225.37,64.37M
10/30/2024,230.1,232.61,233.47,229.55,47.07M
10/29/2024,233.67,233.1,234.32,232.32,35.42M
10/28/2024,233.4,233.32,234.73,232.55,36.09M
10/25/2024,231.41,229.74,233.22,229.57,38.80M
10/24/2024,230.57,229.98,230.82,228.41,31.11M
10/23/2024,230.76,234.08,235.14,227.76,52.29M
10/22/2024,235.86,233.88,236.22,232.6,38.85M
10/21/2024,236.48,234.45,236.85,234.45,36.25M
10/18/2024,235,236.18,236.18,234.01,46.43M
10/17/2024,232.15,233.43,233.85,230.52,32.99M
10/16/2024,231.78,231.6,232.12,229.84,34.08M
10/15/2024,233.85,233.61,237.49,232.37,64.75M
10/14/2024,231.3,228.7,231.73,228.6,39.88M
10/11/2024,227.55,229.3,229.41,227.34,31.76M
