lag_days,correlation_price,correlation_return
-21,0.5804342727144317,0.08882591938811857
-20,0.585859026866631,0.0959198745052198
-19,0.5911055060202611,0.10122371520725873
-18,0.596312307651465,0.10525232078251397
-17,0.602160975834933,0.11364867311162322
-16,0.6080523066722592,0.1182991111180666
-15,0.6142519687497655,0.12019342646592149
-14,0.6207807593413543,0.12446704945775554
-13,0.6271416786207631,0.12601081597368402
-12,0.6340629716216832,0.1253333953238131
-11,0.6405054400280135,0.1109939501023345
-10,0.6464989545853776,0.09610816747479646
-9,0.651529935700776,0.083637520768466
-8,0.6560876160596796,0.07625931041441378
-7,0.659332647754237,0.06718879426752584
-6,0.6617746469671439,0.061074477081286195
-5,0.6640463891347723,0.04842994000332267
-4,0.6657815024458789,0.026968880548334528
-3,0.6662518848541692,-0.007839249519162829
-2,0.6650818504983517,-0.05888411586779245
-1,0.6620642316696659,-0.10788541394071183
0,0.6557790564017909,-0.16218492375607782
1,0.6620642316696659,-0.10788541394071183
2,0.6650818504983517,-0.05888411586779245
3,0.6662518848541692,-0.007839249519162829
4,0.6657815024458789,0.026968880548334528
5,0.6640463891347723,0.04842994000332267
6,0.6617746469671439,0.061074477081286195
7,0.659332647754237,0.06718879426752584
8,0.6560876160596796,0.07625931041441378
9,0.651529935700776,0.083637520768466
10,0.6464989545853776,0.09610816747479646
11,0.6405054400280135,0.1109939501023345
12,0.6340629716216832,0.1253333953238131
13,0.6271416786207631,0.12601081597368402
14,0.6207807593413543,0.12446704945775554
15,0.6142519687497655,0.12019342646592149
16,0.6080523066722592,0.1182991111180666
17,0.602160975834933,0.11364867311162322
18,0.596312307651465,0.10525232078251397
19,0.5911055060202611,0.10122371520725873
20,0.585859026866631,0.0959198745052198
21,0.5804342727144317,0.08882591938811857
