,sentiment_score_7d_avg,news_count,stock_price_7d_avg,Month,Quarter,DayOfYear,WeekOfYear,is_quarter_end,is_year_end,is_apple_season,month_sin,month_cos,quarter_sin,quarter_cos,sentiment_momentum_7d,sentiment_momentum_14d,sentiment_momentum_30d,sentiment_volatility_7d,sentiment_volatility_14d,sentiment_zscore,sentiment_trend_7d,sentiment_percentile_4w,sentiment_stability,news_volume_momentum,news_volume_spike,stock_momentum_7d,stock_momentum_14d,stock_momentum_30d,stock_volatility_7d,stock_volatility_14d,stock_zscore,stock_rsi_4w,ma_cross_signal,stock_vs_year_avg,days_to_next_launch,days_since_last_launch,launch_impact_score,launch_count_nearby,launch_proximity,pre_launch_period,post_launch_period,launch_category_encoded,sentiment_stock_ratio,sentiment_stock_product,sentiment_vs_baseline,stock_vs_baseline,sentiment_vs_overall,stock_vs_overall,news_sentiment_interaction,news_launch_interaction,quarter_launch_interaction,season_sentiment_interaction,sentiment_lag_1w,sentiment_lag_2w,sentiment_lag_3w,sentiment_momentum_lag_1w,sentiment_momentum_lag_2w,stock_lag_1w,stock_lag_2w,sentiment_stock_lag_interaction
count,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0
mean,3.1847363548121783,20.55785714285714,36885.92580579932,6.526071428571429,2.510357142857143,183.1992857142857,26.551785714285714,0.33321428571428574,0.085,0.25,-0.00695741504054758,-0.000997938797878619,-0.005357142857142877,0.003928571428571408,0.0006677587078943709,0.001442327000815231,0.0031494413067781287,0.06067417941009855,0.0800329289994519,6.54714377950378e-16,-0.00023075591722729636,0.626235119047619,0.030038397715732204,0.535308534864787,0.0925,0.00012377362759128171,0.00026063184846859073,0.0005698736763587633,72.61022948549024,105.81324940920926,0.0008854965055793583,0.6309226190476191,0.48428571428571426,5.051248580184353e-05,59.18928571428572,54.24214285714286,2.196817053199602,5.0928571428571425,0.12650492618368125,0.45071428571428573,0.4739285714285714,2.5757142857142856,0.009332152345578774,0.0005879788491244929,2.7755575615628914e-17,5.051248580184353e-05,4.0919648621898624e-17,-0.00014073565624537655,64.68790826734842,53.08833896804206,5.433497380185614,0.7643257221904959,3.1849443979428353,3.185296242764796,3.1856788075931166,0.0006254684768754277,0.0006135367360901294,36896.33658347789,36906.74708312075,0.0006154190225232641
std,0.34231316994351596,25.905568386630506,35727.732622082054,3.4510871365897478,1.1175465079894986,105.52035237563162,15.071610546652398,0.47144660860155174,0.27893150899376556,0.43309004630685644,0.7053651547385604,0.7090612454356754,0.706454609039234,0.7079795247043534,0.03829653613926596,0.05725676244137804,0.0843406744820348,0.05902636767948671,0.06063660769029924,1.0001786192744442,0.11972265228105562,0.3106853445980466,0.020672614664574707,1.7362032070289701,0.2897822296512514,0.0050108563085347205,0.009041633787110613,0.016045363981568056,148.02411053352466,189.87862174504832,1.0033658005438104,0.3177042508262967,0.4998422657338961,0.09968314066198082,76.45382094840238,71.12508750990386,1.9571296048936853,3.6962103717364196,0.18573451944265743,0.49765386378655113,0.49940900610824407,1.7678754354737216,0.010134598200870369,0.01593714966017966,0.10275988701784836,0.09968314066198082,0.10730994465015473,0.15438036074423647,80.747184246499,94.0088187133922,5.262654709469955,1.33415926263069,0.3425162439949857,0.3429827700578588,0.3434619251892829,0.038258460670276086,0.03827146465555651,35736.99029668585,35746.2428257609,0.01596383648203166
min,2.1757852408634983,1.0,120.28,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.15552501627189463,-0.24723990071835256,-0.325441122171798,0.0,0.0,-3.179227654628732,-0.5710029203868805,0.25,0.0,-0.9615384615384616,0.0,-0.05092514663800829,-0.05092514663800829,-0.06188797493145315,0.0,0.0,-2.7526307031682267,0.25,0.0,-0.26944355911035023,1.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,3.1453153586388025e-05,-0.14575894511002668,-0.32284307441905863,-0.26944355911035023,-0.3192060616450334,-0.29065207918234115,2.323754690688326,0.0,0.0,0.0,2.1757852408634983,2.1757852408634983,2.1757852408634983,-0.15552501627189463,-0.15552501627189463,120.28,120.28,-0.14575894511002668
25%,2.9627818324659847,3.0,169.60571428571427,4.0,2.0,92.0,14.0,0.0,0.0,0.0,-0.8660254037844384,-0.8660254037844387,-1.0,-1.8369701987210297e-16,-0.019525522539299733,-0.03060230144260101,-0.04787648254442725,0.01741902035550734,0.036359395523162835,-0.6793847584756667,-0.063147859334298,0.25,0.014985450705756867,-0.4529220779220779,0.0,-0.0017684024431598444,-0.0037962702538665294,-0.008167656566894,0.0,0.27483975775059055,-0.8063036484127384,0.25,0.0,-0.07590015271257436,13.0,12.0,0.6703200460356393,2.0,0.027777777777777776,0.0,0.0,1.0,4.492565007122725e-05,-0.0055207995431083125,-0.06450821885418512,-0.07590015271257436,-0.06984045427856561,-0.1287412004912658,10.610531050094162,2.739665738446183,1.495608609675379,0.0,2.9638516827293167,2.964215040547657,2.964778277974065,-0.01954374106903914,-0.019581536576413927,169.51392857142855,169.37714285714287,-0.005491358777198514
50%,3.1910315243375837,10.0,55471.42857142857,7.0,3.0,183.5,27.0,0.0,0.0,0.0,-2.4492935982947064e-16,-1.8369701987210297e-16,-2.4492935982947064e-16,-1.8369701987210297e-16,0.0,0.0,-0.0006924162595952632,0.043557889527376166,0.06369401636862405,0.03006978932101176,-4.440892098500626e-16,0.6875,0.024389595236252233,0.0,0.0,0.0,0.0,8.755909729185607e-05,0.5666955774896154,1.1965150823997468,0.16910421693376348,0.625,0.0,0.015645978810832656,36.0,33.0,1.6564281193670136,5.0,0.05555555555555555,0.0,0.0,3.0,5.372380573646031e-05,0.0,0.003012944660684248,0.015645978810832656,0.002393129955736636,0.0010368812736066882,31.940771308889428,16.403769152628435,3.6064206142175994,0.0,3.1912416761144993,3.191437678280524,3.191539621659576,0.0,0.0,55571.42857142857,55678.57142857143,0.0
75%,3.4144985633649667,31.0,71589.28571428571,10.0,4.0,275.0,40.0,1.0,0.0,0.25,0.49999999999999994,0.8660254037844384,1.2246467991473532e-16,1.0,0.01897519214849741,0.03220199969712384,0.050989946844919365,0.08385055479272156,0.10793523428604639,0.7241143499664919,0.0598360063283635,1.0,0.04065756392191152,0.9870689655172414,0.0,0.002130493129968658,0.0047730280298978744,0.009984081849760351,80.81220355486037,140.21363679897576,0.7477363648650945,1.0,1.0,0.06911784107264285,73.0,68.0,3.2611173083317664,8.0,0.14285714285714285,1.0,1.0,4.0,0.018911819598112403,0.006768558084191079,0.06614395390561162,0.06911784107264285,0.07295538733077894,0.09879622010857178,98.06873228760026,67.55370189752715,7.900209783157609,0.5439463102158746,3.4144985633649667,3.4144985633649667,3.4144985633649667,0.01897519214849741,0.018988686733670157,71607.14285714286,71628.57142857143,0.006795622102976389
max,4.322978014791821,265.0,88971.42857142857,12.0,4.0,366.0,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1852173847129115,0.28297914190851103,0.4596140538304929,0.4037600370828967,0.4300397533852967,3.2030714712867754,0.46504859160279577,1.0,0.14998719152366013,23.0,1.0,0.020827909398594135,0.03538420913651974,0.05755395683453224,959.6449173237982,1258.4679163951466,2.628285756970802,1.0,1.0,0.26829278886167446,365.0,365.0,9.391641664718055,18.0,1.0,1.0,1.0,5.0,0.03290945406363982,0.06922489455385396,0.3408788564511085,0.26829278886167446,0.3526414155397319,0.5045433743426317,742.1367356667486,1604.698378582661,24.60642041335518,4.128910584917783,4.322978014791821,4.322978014791821,4.322978014791821,0.1852173847129115,0.1852173847129115,88971.42857142857,88971.42857142857,0.06922489455385396
