,sentiment_score_7d_avg,news_count,stock_price_7d_avg,Month,Quarter,DayOfYear,WeekOfYear,is_quarter_end,is_year_end,is_apple_season,month_sin,month_cos,quarter_sin,quarter_cos,sentiment_momentum_7d,sentiment_momentum_14d,sentiment_momentum_30d,sentiment_volatility_7d,sentiment_volatility_14d,sentiment_zscore,sentiment_trend_7d,sentiment_percentile_4w,sentiment_stability,news_volume_momentum,news_volume_spike,stock_momentum_7d,stock_momentum_14d,stock_momentum_30d,stock_volatility_7d,stock_volatility_14d,stock_zscore,stock_rsi_4w,ma_cross_signal,stock_vs_year_avg,days_to_next_launch,days_since_last_launch,launch_impact_score,launch_count_nearby,launch_proximity,pre_launch_period,post_launch_period,launch_category_encoded,sentiment_stock_ratio,sentiment_stock_product,sentiment_vs_baseline,stock_vs_baseline,sentiment_vs_overall,stock_vs_overall,news_sentiment_interaction,news_launch_interaction,quarter_launch_interaction,season_sentiment_interaction,sentiment_lag_1w,sentiment_lag_2w,sentiment_lag_3w,sentiment_momentum_lag_1w,sentiment_momentum_lag_2w,stock_lag_1w,stock_lag_2w,sentiment_stock_lag_interaction
count,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0
mean,3.174456603571233,34.79329226557152,70536.43346044785,6.522929500342231,2.5085557837097876,183.1252566735113,26.519507186858316,0.33401779603011633,0.08487337440109514,0.24914442162902123,-0.004784655069655418,-0.0020288169850361053,-0.004791238877481206,0.0027378507871320622,0.00028581772189080766,0.0006608291452389016,0.0014838454369044843,0.043634452922633876,0.057109567219543925,7.781439953567147e-16,-0.0001687708023673724,0.6230321697467488,0.021536727736064583,0.46841233297292106,0.09924709103353867,-0.0002492943770994825,-0.00047712932545482446,-0.0009124267397385474,138.76552852306608,202.21893411148105,0.0025728472836094233,0.5961384896189824,0.42847364818617384,0.00012955957629129215,47.38466803559206,31.613963039014372,2.7729605335227094,6.415468856947296,0.15431148150910792,0.5660506502395619,0.5975359342915811,1.3155373032169746,4.537573884108832e-05,-0.0005564719440424938,-7.751043703748525e-18,0.00012955957629129215,1.440782241402667e-16,0.00047087272729669704,109.56267610767921,93.88318077328313,6.050050012337712,0.7660589090442641,3.1747063181224555,3.174965205851298,3.175248360189596,0.0003070375009720652,0.00032303820207413655,70556.47110589617,70576.50875134449,-0.0005230805825435707
std,0.2802950133512058,28.81492162752033,8811.575275298583,3.449884042297707,1.1174650411937528,105.47474565625919,15.065398394933496,0.47180745110263056,0.27878859960558644,0.43266570230378193,0.7059999968168331,0.7086761661574743,0.706606040732672,0.7080694613190417,0.026236496794660537,0.0398836287406804,0.05948578699701816,0.03707349835010247,0.03793710354777747,1.0003424071321025,0.08099011786846884,0.3134512562748616,0.013336976577052198,1.533129901222313,0.2990958656508124,0.0045572428649725055,0.008258102206832969,0.014532591999584663,181.2403590979683,222.8704146655431,1.0007085313222635,0.30820876254540847,0.4950269788105611,0.09685872305384362,74.4663195751692,29.335684417488345,2.014165231792159,3.6744965551939472,0.19920198144821352,0.4957878138245288,0.4905623899853272,1.2593587472432952,4.311153017741812e-06,0.014335937086557674,0.08229060850739167,0.09685872305384362,0.08829700586735904,0.12498114766071236,89.35567676801476,114.72234057205193,4.533162507344197,1.3377285448467378,0.28026808588730323,0.2802337366867351,0.28017796213358825,0.026252476358529005,0.02626683205660259,8806.604133391438,8801.584535059636,0.014393931725264895
min,2.304873536732122,1.0,53500.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.09945260039236525,-0.12212039085320292,-0.17030086302880865,0.00010880595538642397,0.0011024105184152368,-3.179227654628732,-0.3601051559707402,0.25,0.0010745058019114328,-0.9615384615384616,0.0,-0.020449381469325845,-0.035440998791784084,-0.06188797493145315,0.0,0.0,-2.447944462048844,0.25,0.0,-0.2512453453608078,1.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,3.1453153586388025e-05,-0.06990832391481674,-0.24501052244566002,-0.2512453453608078,-0.2739313134288365,-0.2411695762740292,2.338989937489014,0.0,0.0,0.0,2.304873536732122,2.304873536732122,2.304873536732122,-0.09945260039236525,-0.09945260039236525,53500.0,53500.0,-0.06990832391481674
25%,2.995487391996556,17.0,62671.42857142857,4.0,2.0,92.0,13.0,0.0,0.0,0.0,-0.8660254037844384,-0.8660254037844387,-1.0,-1.8369701987210297e-16,-0.015159098113127323,-0.024801118857435633,-0.03760304259760061,0.015742215541218116,0.030042676651786147,-0.650871505563722,-0.04815871550893025,0.25,0.011954278899191147,-0.40740740740740744,0.0,-0.0019031141868511847,-0.0037852718513421424,-0.007753876938469295,0.0,35.95159253173832,-0.7857632514838423,0.25,0.0,-0.06927450600801739,10.0,9.0,1.2190792521321008,4.0,0.038461538461538464,0.0,0.0,0.0,4.2302470020904646e-05,-0.005942963017779446,-0.05049010485098622,-0.06927450600801739,-0.05637790460683527,-0.1110843607781485,53.62136241957241,25.648133537993672,2.7243071395835443,0.0,2.9964121489462623,2.9966784547530705,2.99694006255546,-0.015159098113127323,-0.015159098113127323,62700.0,62728.57142857143,-0.005942963017779446
50%,3.1951495685933873,29.0,71285.71428571429,7.0,3.0,183.0,27.0,0.0,0.0,0.0,-2.4492935982947064e-16,-1.8369701987210297e-16,-2.4492935982947064e-16,-1.8369701987210297e-16,0.0001912950947366987,-0.0007752966251181048,-0.0004762940028660845,0.03347382671153672,0.04950980371870876,0.05562263095149531,0.0005880130514919202,0.5,0.018269141288032947,0.04347826086956519,0.0,0.0,0.0,-0.0011677695601401972,70.71067806950703,131.9657758114904,0.19632285340837546,0.5,0.0,0.019256349721308953,25.0,23.0,2.39686675193168,7.0,0.07692307692307693,1.0,1.0,1.0,4.512532587734157e-05,0.0,0.0046973214808755095,0.019256349721308953,0.006518584944231001,0.011098481813776883,93.74037520235208,62.94582714078789,4.954955190927617,0.0,3.195228823738262,3.1952572314307957,3.1958628149777653,0.0001912950947366987,0.0001912950947366987,71285.71428571429,71328.57142857143,0.0
75%,3.3744955338277145,43.0,77685.71428571429,10.0,4.0,274.0,40.0,1.0,0.0,0.0,0.49999999999999994,0.8660254037844384,1.2246467991473532e-16,1.0,0.014953241742601042,0.023599206073218637,0.03932977198968146,0.06363949793775041,0.07362893017878303,0.7271077201291622,0.04655160900758659,1.0,0.027129239989488015,0.8333333333333333,0.0,0.0008933357155620492,0.002641202763104422,0.006359606860666611,212.1320343515774,288.6751345926773,0.7406955343740289,1.0,1.0,0.059511203874104086,53.0,48.0,3.6735517079018125,8.0,0.16666666666666666,1.0,1.0,3.0,4.800652297104789e-05,0.002711068451470433,0.05567414758870596,0.059511203874104086,0.06301517243342986,0.101874457736136,136.17035140860946,118.90301625230236,8.055469267515617,0.0,3.3744955338277145,3.3744955338277145,3.3744955338277145,0.015103500134201697,0.015145626453481054,77685.71428571429,77685.71428571429,0.0027220393422924282
max,3.8500313498814824,265.0,88971.42857142857,12.0,4.0,366.0,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1852173847129115,0.20063125154496397,0.21863238200959656,0.3063339304741001,0.2611510738423683,2.545853298976232,0.4332215990915318,1.0,0.08802473601184231,18.0,1.0,0.020827909398594135,0.03538420913651974,0.05755395683453224,959.6449173237982,1258.4679163951466,2.2045422796131406,1.0,1.0,0.22227536668990314,365.0,132.0,9.391641664718055,18.0,1.0,1.0,1.0,3.0,6.151050532365476e-05,0.06503456079181537,0.26112479105298453,0.22227536668990314,0.21281587076989308,0.2619481652777959,742.1367356667486,1604.698378582661,24.60642041335518,3.796957771139631,3.8500313498814824,3.8500313498814824,3.8500313498814824,0.1852173847129115,0.1852173847129115,88971.42857142857,88971.42857142857,0.06503456079181537
