,sentiment_score_7d_avg,news_count,stock_price_7d_avg,Month,Quarter,DayOfYear,WeekOfYear,is_quarter_end,is_year_end,is_apple_season,month_sin,month_cos,quarter_sin,quarter_cos,sentiment_momentum_7d,sentiment_momentum_14d,sentiment_momentum_30d,sentiment_volatility_7d,sentiment_volatility_14d,sentiment_zscore,sentiment_trend_7d,sentiment_percentile_4w,sentiment_stability,news_volume_momentum,news_volume_spike,stock_momentum_7d,stock_momentum_14d,stock_momentum_30d,stock_volatility_7d,stock_volatility_14d,stock_zscore,stock_rsi_4w,ma_cross_signal,stock_vs_year_avg,days_to_next_launch,days_since_last_launch,launch_impact_score,launch_count_nearby,launch_proximity,pre_launch_period,post_launch_period,launch_category_encoded,sentiment_stock_ratio,sentiment_stock_product,sentiment_vs_baseline,stock_vs_baseline,sentiment_vs_overall,stock_vs_overall,news_sentiment_interaction,news_launch_interaction,quarter_launch_interaction,season_sentiment_interaction,sentiment_lag_1w,sentiment_lag_2w,sentiment_lag_3w,sentiment_momentum_lag_1w,sentiment_momentum_lag_2w,stock_lag_1w,stock_lag_2w,sentiment_stock_lag_interaction
count,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0
mean,3.195952722671044,5.025392083644511,169.4271624524343,6.529499626587005,2.512322628827483,183.28005974607916,26.587005227781926,0.3323375653472741,0.08513816280806571,0.25093353248693057,-0.009328141192506781,0.00012686555719025554,-0.005974607916355495,0.005227781926811011,0.0010844993953859363,0.002295029291328314,0.004966794231263113,0.07926644259022243,0.10504490178544557,5.704506653787212e-16,-0.0002983886676457795,0.6297298979337814,0.039314678403031975,0.6082998350619613,0.08513816280806571,0.0005308328918580528,0.0010656124870810702,0.002187230590412663,0.42733785449820183,0.6237756601285679,-0.0009555934770209541,0.6688760268857357,0.5451829723674384,-3.573680411980478e-05,72.06945481702763,78.93203883495146,1.5681795440494442,3.6497386109036594,0.09616483855825306,0.32486930545182974,0.339058999253174,3.950709484690067,0.019465072900055072,0.0018367037250146853,6.699478744564051e-17,-3.573680411980478e-05,-7.561787889903978e-17,-0.0008080693742102543,15.724475993469953,8.576566094661015,4.760768929420703,0.7624346198802976,3.1961152975825478,3.1965685690759393,3.1970596019594666,0.0009729125812778269,0.0009305033964317018,169.33394176535435,169.24013967424162,0.0018576504810763977
std,0.39894658119390025,5.930283600245386,30.71505834353222,3.453685101573312,1.1180495898525553,105.60944201795931,15.083935908426199,0.4712272748466385,0.27919145677569096,0.43371232112089136,0.7049279283210597,0.7097442530027143,0.7065528240876334,0.7081436423362494,0.04813130014332414,0.0715605012472013,0.10494319565744674,0.07159448816902618,0.0701519147622545,1.0003736222809236,0.15108667080064014,0.3077180323965932,0.02312725503931145,1.9315503752433065,0.27919145677569096,0.005435587796861985,0.009765258401880948,0.017409893590636036,0.4799218195919341,0.5735149000863726,1.0066279296860947,0.32362632423819326,0.49814036100421794,0.10271257520147939,76.54199849858222,92.05649470780364,1.6817027774112696,3.138879034116718,0.16462318078563698,0.4685009744128078,0.47356676569286765,1.0869338211371458,0.004235183788739378,0.01743804559765446,0.12124650940860102,0.10271257520147939,0.12482868672114689,0.18114119366293369,18.139968523476274,18.06912809752986,5.886068103274256,1.3307509610772905,0.39933410138335124,0.4001916693298724,0.40108706006168915,0.048059449598456226,0.048072951959371835,30.64659547126409,30.57606878204877,0.017437869369422824
min,2.1757852408634983,1.0,120.28,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.15552501627189463,-0.24723990071835256,-0.325441122171798,0.0,0.0,-2.6755969124692918,-0.5710029203868805,0.25,0.0,-0.9473684210526316,0.0,-0.05092514663800829,-0.05092514663800829,-0.05262187727382983,0.0,0.0,-2.7526307031682267,0.25,0.0,-0.26944355911035023,1.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,2.0,0.009590046630216315,-0.14575894511002668,-0.32284307441905863,-0.26944355911035023,-0.3192060616450334,-0.29065207918234115,2.323754690688326,0.0,0.0,0.0,2.1757852408634983,2.1757852408634983,2.1757852408634983,-0.15552501627189463,-0.15552501627189463,120.28,120.28,-0.14575894511002668
25%,2.922538315661725,2.0,146.2092857142857,4.0,2.0,92.5,14.0,0.0,0.0,0.0,-0.8660254037844384,-0.8660254037844387,-1.0,-1.8369701987210297e-16,-0.02700679783324378,-0.04308819786010004,-0.06805856077584316,0.02242091222535772,0.05233311375244609,-0.7193774305214882,-0.0849087934960453,0.25,0.022192139267465126,-0.5,0.0,-0.0015720224940629635,-0.0038786860339068974,-0.008627720513474768,0.00303045567184378,0.19211169499967728,-0.8242064443245152,0.25,0.0,-0.0821269597372187,22.0,21.0,0.38034875658925854,1.0,0.02127659574468085,0.0,0.0,3.0,0.016403668304563086,-0.005006972821611598,-0.0874006425419891,-0.0821269597372187,-0.08555020387811325,-0.13773484514745932,5.658667414419507,0.7929069586555585,0.7403045562532686,0.0,2.922538315661725,2.922538315661725,2.922538315661725,-0.027123735857617293,-0.0272624035823682,146.175,146.15428571428572,-0.004871665468780176
50%,3.184977163057192,3.0,167.3114285714286,7.0,3.0,184.0,27.0,0.0,0.0,0.0,-2.4492935982947064e-16,-1.8369701987210297e-16,-2.4492935982947064e-16,-1.8369701987210297e-16,0.0,5.9512664244643076e-05,-0.0013327120390349556,0.06254599165144373,0.0918750047809202,0.005464232890207591,-4.440892098500626e-16,0.75,0.035216326695876196,0.0,0.0,0.0,0.00019439027296130895,0.00241922896831559,0.30203561081049723,0.4896041716511149,0.11764868238532564,0.75,1.0,0.009616766826545569,53.0,51.0,0.9147919792231072,3.0,0.037037037037037035,0.0,0.0,4.0,0.019069527679075868,0.0,0.0005815172954127736,0.009616766826545569,-0.0034342058741967142,-0.013285550497380139,10.38147586572754,2.854693977054791,2.0,0.0,3.184977163057192,3.184977163057192,3.184977163057192,0.0,0.0,167.3114285714286,167.3114285714286,0.0
75%,3.471523806999894,6.0,185.61,10.0,4.0,275.0,40.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844384,1.2246467991473532e-16,1.0,0.029923950336573912,0.04495639379444649,0.07272896874419288,0.11888988224445932,0.1470725561206379,0.7102116418996706,0.09158313921650829,1.0,0.0531414959325049,1.0,0.0,0.0033587955002472025,0.006720562937633234,0.014151618779047359,0.6869037302859514,0.9389168667830627,0.7519769383512763,1.0,1.0,0.08049090773819223,92.0,94.0,2.2224546620451537,6.0,0.08333333333333333,1.0,1.0,5.0,0.021690467013039748,0.01085414361845614,0.08443435917791925,0.08049090773819223,0.08622501902923616,0.09462976041707409,19.066075746193015,8.761460940488735,6.7241120740605815,2.1816511434695576,3.471523806999894,3.471523806999894,3.471523806999894,0.029750627501244575,0.029750627501244575,185.61,185.61,0.01086804118532767
max,4.322978014791821,60.0,255.11666666666667,12.0,4.0,366.0,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1643603727085936,0.28297914190851103,0.4596140538304929,0.4037600370828967,0.4300397533852967,3.2030714712867754,0.46504859160279577,1.0,0.14998719152366013,23.0,1.0,0.017427275153456323,0.031205537190966748,0.056407333939746174,6.952627426015852,5.676796521805722,2.628285756970802,1.0,1.0,0.26829278886167446,365.0,365.0,7.377862236472766,10.0,1.0,1.0,1.0,5.0,0.03290945406363982,0.06922489455385396,0.3408788564511085,0.26829278886167446,0.3526414155397319,0.5045433743426317,188.19697377933645,263.6422957448839,23.64580614332676,4.128910584917783,4.322978014791821,4.322978014791821,4.322978014791821,0.1643603727085936,0.1643603727085936,255.11666666666667,255.11666666666667,0.06922489455385396
